sku,fecha,demanda
CL-CPK-1,2022-01-03,0
CL-CPK-1,2022-01-10,0
CL-CPK-1,2022-01-17,2
CL-CPK-1,2022-01-24,6
CL-CPK-1,2022-01-31,2
CL-CPK-1,2022-02-07,0
CL-CPK-1,2022-02-14,2
CL-CPK-1,2022-02-21,0
CL-CPK-1,2022-02-28,1
CL-CPK-1,2022-03-07,2
CL-CPK-1,2022-03-14,1
CL-CPK-1,2022-03-21,2
CL-CPK-1,2022-03-28,6
CL-CPK-1,2022-04-04,0
CL-CPK-1,2022-04-11,1
CL-CPK-1,2022-04-18,0
CL-CPK-1,2022-04-25,1
CL-CPK-1,2022-05-02,5
CL-CPK-1,2022-05-09,1
CL-CPK-1,2022-05-16,0
CL-CPK-1,2022-05-23,0
CL-CPK-1,2022-05-30,0
CL-CPK-1,2022-06-06,0
CL-CPK-1,2022-06-13,0
CL-CPK-1,2022-06-20,0
CL-CPK-1,2022-06-27,4
CL-CPK-1,2022-07-04,1
CL-CPK-1,2022-07-11,2
CL-CPK-1,2022-07-18,4
CL-CPK-1,2022-07-25,2
CL-CPK-1,2022-08-01,3
CL-CPK-1,2022-08-08,2
CL-CPK-1,2022-08-15,0
CL-CPK-1,2022-08-22,0
CL-CPK-1,2022-08-29,1
CL-CPK-1,2022-09-05,1
CL-CPK-1,2022-09-12,0
CL-CPK-1,2022-09-19,2
CL-CPK-1,2022-09-26,0
CL-CPK-1,2022-10-03,0
CL-CPK-1,2022-10-10,0
CL-CPK-1,2022-10-17,1
CL-CPK-1,2022-10-24,0
CL-CPK-1,2022-10-31,0
CL-CPK-1,2022-11-07,0
CL-CPK-1,2022-11-14,0
CL-CPK-1,2022-11-21,0
CL-CPK-1,2022-11-28,0
CL-CPK-1,2022-12-05,0
CL-CPK-1,2022-12-12,0
CL-CPK-1,2022-12-19,1
CL-CPK-1,2022-12-26,0
CL-CPK-1,2023-01-02,1
CL-CPK-1,2023-01-09,0
CL-CPK-1,2023-01-16,0
CL-CPK-1,2023-01-23,1
CL-CPK-1,2023-01-30,0
CL-CPK-1,2023-02-06,1
CL-CPK-1,2023-02-13,0
CL-CPK-1,2023-02-20,0
CL-CPK-1,2023-02-27,3
CL-CPK-1,2023-03-06,1
CL-CPK-1,2023-03-13,1
CL-CPK-1,2023-03-20,0
CL-CPK-1,2023-03-27,0
CL-CPK-1,2023-04-03,2
CL-CPK-1,2023-04-10,0
CL-CPK-1,2023-04-17,1
CL-CPK-1,2023-04-24,4
CL-CPK-1,2023-05-01,0
CL-CPK-1,2023-05-08,1
CL-CPK-1,2023-05-15,2
CL-CPK-1,2023-05-22,2
CL-CPK-1,2023-05-29,0
CL-CPK-1,2023-06-05,0
CL-CPK-1,2023-06-12,0
CL-CPK-1,2023-06-19,1
CL-CPK-1,2023-06-26,2
CL-CPK-1,2023-07-03,4
CL-CPK-1,2023-07-10,1
CL-CPK-1,2023-07-17,5
CL-CPK-1,2023-07-24,1
CL-CPK-1,2023-07-31,0
CL-CPK-1,2023-08-07,1
CL-CPK-1,2023-08-14,4
CL-CPK-1,2023-08-21,1
CL-CPK-1,2023-08-28,1
CL-CPK-1,2023-09-04,2
CL-CPK-1,2023-09-11,1
CL-CPK-1,2023-09-18,2
CL-CPK-1,2023-09-25,0
CL-CPK-1,2023-10-02,0
CL-CPK-1,2023-10-09,2
CL-CPK-1,2023-10-16,0
CL-CPK-1,2023-10-23,0
CL-CPK-1,2023-10-30,2
CL-CPK-1,2023-11-06,0
CL-CPK-1,2023-11-13,2
CL-CPK-1,2023-11-20,2
CL-CPK-1,2023-11-27,1
CL-CPK-1,2023-12-04,1
