sku,descripcion,costo_fabricacion,precio_venta,categoria,margen
CR-SML-4,Correa Smiley L,3,14,CORREA,11
AR-STC-3,ARNÉS AJUSTABLE STICKERS M,4,13,ARNÉS AJUSTABLE,9
AT-SML-3,ARNÉS TRAIL SMILEY M,7,19,ARNÉS TRAIL,12
AT-SML-2,ARNÉS TRAIL SMILEY S,7,18,ARNÉS TRAIL,11
CR-STC-4,CORREA STICKERS L,3,11,CORREA,8
AT-TAT-4,ARNÉS TRAIL TATTOO L,8,22,ARNÉS TRAIL,14
ACV-BLU-3,CLASSIC HARNESS PVC BLUE PVC M,5,19,PVC ARNÉS CLÁSICO,14
AC-GMM-3,Dukier Bears Gummy Arnés Clásico M,2,14,ARNÉS CLÁSICO,12
AT-BRY-2,ARNÉS TRAIL BERRY LOVE S,7,23,ARNÉS TRAIL,16
CR-PRP-4,Correa Purple L,3,14,CORREA,11
CR-GMM-2,Dukier Bears Gummy Correa S,2,16,CORREA,14
CL-BRY-3,Dukier Berry Love Collar M,2,12,COLLAR PERRO,10
RC-RPW-7,CHUBASQUEROS FLOWER POWER XXXL,5,13,CHUBASQUERO,8
AT-BRY-3,ARNÉS TRAIL BERRY LOVE M,7,24,ARNÉS TRAIL,17
ACV-BLU-4,CLASSIC HARNESS PVC BLUE PVC L,5,19,PVC ARNÉS CLÁSICO,14
AT-AVC-4,ARNÉS TRAIL AVOCADO L,8,23,ARNÉS TRAIL,15
RC-RPW-1,CHUBASQUEROS FLOWER POWER XS,5,19,CHUBASQUERO,14
BH-RED-1,Body Red XS,2,11,ARNÉS BODY,9
ACV-GRN-4,CLASSIC HARNESS PVC GREEN PVC L,5,19,PVC ARNÉS CLÁSICO,14
PB-STC-2,PORTA BOLSAS STICKERS U,2,5,PORTA BOLSAS,3
PB-SML-2,Porta Bolsas Smiley U,2,5,PORTA BOLSAS,3
ACV-PNK-4,CLASSIC HARNESS PVC PINK PVC L,5,19,PVC ARNÉS CLÁSICO,14
CR-RED-4,Correa Red L,3,14,CORREA,11
PJ-BRY-4,Dukier Berry Love Pajarita L,1,5,PAJARITA,4
AC-CLF-2,ARNÉS CLÁSICO CALIFORNIA S,2,10,ARNÉS CLÁSICO,8
CR-AVC-4,CORREA AVOCADO L,3,15,CORREA,12
ACV-BEI-4,CLASSIC HARNESS PVC BEIGE PVC L,5,19,PVC ARNÉS CLÁSICO,14
ACV-COR-4,0,5,20,PVC ARNÉS CLÁSICO,15
BH-TRT-5,BODY HARNESS TURTLEXL,3,11,ARNÉS BODY,8
CG-MNT-0,Collar Gato Mint U,1,6,GATO,5
CR-BLU-2,Correa Blue S,2,14,CORREA,12
PB-TDY-2,PORTA BOLSAS TIE DYE,2,4,PORTA BOLSAS,2
PB-PLN-2,PORTA BOLSAS PLANTS,2,4,PORTA BOLSAS,2
ACV-PRP-4,0,5,20,PVC ARNÉS CLÁSICO,15
CL-UNC-4,Collar UNICORNS L,2,11,COLLAR PERRO,9
ACV-SGR-4,0,5,20,PVC ARNÉS CLÁSICO,15
CL-UNC-3,Collar UNICORNS M,2,10,COLLAR PERRO,8
ACV-YEL-4,0,5,20,PVC ARNÉS CLÁSICO,15
CRV-BLU-4,LEASH PVC BLUE PVC L,4,18,PVC CORREA,14
AC-BLU-4,Arnés clásico Blue L,3,12,ARNÉS CLÁSICO,9
CG-BEE-0,Dukier Beer Collar Gato U,1,5,GATO,4
AR-DGT-1,ARNÉS REVERSIBLE DOGTELLA XS,3,14,ARNÉS REVERSIBLE,11
CL-SWT-3,Collar SWEETS M,2,11,COLLAR PERRO,9
AR-MON-5,Arnés Reversible Monstera XL,5,18,ARNÉS REVERSIBLE,13
BH-YLL-1,Body Lime XS,2,13,ARNÉS BODY,11
AC-SWT-3,ARNÉS CLÁSICO SWEETS M,2,12,ARNÉS CLÁSICO,10
CG-TER-0,Collar GATO TERRAZO U,1,4,GATO,3
AC-MMD-4,Dukier Mermaid Arnés Clásico L,3,14,ARNÉS CLÁSICO,11
AR-PKG-4,ARNÉS REVERSIBLE PINK GALAXY L,4,18,ARNÉS REVERSIBLE,14
AR-PCE-4,Dukier Peace Arnés Reversible L,4,17,ARNÉS REVERSIBLE,13
CL-BEE-2,Dukier Beer Collar S,2,9,COLLAR PERRO,7
AT-MMD-5,ARNÉS TRAIL MERMAID XL,8,21,ARNÉS TRAIL,13
BH-YLL-2,Body Lime S,2,13,ARNÉS BODY,11
AR-AVC-4,ARNÉS REVERSIBLE AVOCADO L,4,16,ARNÉS REVERSIBLE,12
AC-YLL-4,Arnés Clásico Lime L,3,12,ARNÉS CLÁSICO,9
RC-CLD-6,Dukier Chubasqueros CLOUDS XXL,5,14,CHUBASQUERO,9
CG-RCK-0,Collar GATO ROCK U,1,4,GATO,3
CL-YLL-1,Collar Lime XS,1,9,COLLAR PERRO,8
BH-RED-5,Body Red XL,3,10,ARNÉS BODY,7
RC-RBW-2,Chubasqueros Rainbow S,5,11,CHUBASQUERO,6
CL-SWT-1,Collar SWEETS XS,1,10,COLLAR PERRO,9
RC-RND-3,Dukier Chubasqueros Raindrops M,5,13,CHUBASQUERO,8
AR-MON-4,Arnés Reversible Monstera L,4,15,ARNÉS REVERSIBLE,11
CR-MNT-4,Correa Mint L,3,14,CORREA,11
AR-DGT-2,ARNÉS REVERSIBLE DOGTELLA S,3,14,ARNÉS REVERSIBLE,11
AC-AVC-2,ARNÉS CLÁSICO AVOCADO S,2,13,ARNÉS CLÁSICO,11
AR-TAT-2,ARNES REVERSIBLE TATTOO S,3,16,ARNÉS REVERSIBLE,13
BH-SML-1,Body Smiley XS,2,13,ARNÉS BODY,11
AC-YLL-2,Arnés Clásico Lime S,2,12,ARNÉS CLÁSICO,10
AC-SWT-2,ARNÉS CLÁSICO SWEETS S,2,13,ARNÉS CLÁSICO,11
