sku,fecha,cantidad
AC-ALN-4,2025-05-01,50
AC-CLF-2,2025-05-01,45
AC-CLF-3,2025-05-01,50
AC-LPG-2,2025-05-01,60
AC-STC-3,2025-05-01,120
AC-TAT-2,2025-05-01,40
AC-TAT-3,2025-05-01,50
AR-CLF-2,2025-05-01,50
AR-CLF-3,2025-05-01,50
AR-LPG-2,2025-05-01,50
AR-PKG-1,2025-05-01,50
AR-PKG-2,2025-05-01,50
AR-STC-1,2025-05-01,90
AR-STC-2,2025-05-01,190
AR-STC-3,2025-05-01,90
BH-SML-1,2025-05-01,30
CG-ALN-0,2025-05-01,50
CG-PLN-0,2025-05-01,130
CG-PRC-0,2025-05-01,50
CG-RCK-0,2025-05-01,130
CG-TAT-0,2025-05-01,150
CG-TDY-0,2025-05-01,150
CG-TER-0,2025-05-01,130
CL-CLF-1,2025-05-01,50
CL-CLF-3,2025-05-01,50
CL-DGT-1,2025-05-01,50
CL-LPG-2,2025-05-01,50
CL-LPG-3,2025-05-01,50
CL-SML-3,2025-05-01,100
CL-STC-3,2025-05-01,120
CL-STC-4,2025-05-01,50
CR-AVC-2,2025-05-01,80
CR-BRY-2,2025-05-01,50
CR-BRY-4,2025-05-01,65
CR-CLF-2,2025-05-01,50
CR-LPG-2,2025-05-01,85
CR-MON-4,2025-05-01,50
CR-SML-4,2025-05-01,100
CR-STC-4,2025-05-01,95
PB-AVC-2,2025-05-01,120
PB-FPW-2,2025-05-01,100
PB-LPG-2,2025-05-01,100
PB-SML-2,2025-05-01,200
PB-STC-2,2025-05-01,190
AC-ALN-2,2025-06-01,50
AC-ALN-3,2025-06-01,50
AC-AVC-3,2025-06-01,70
AC-BLU-3,2025-06-01,50
AC-BRY-2,2025-06-01,100
AC-BRY-3,2025-06-01,100
AC-CLF-2,2025-06-01,25
AC-CLF-3,2025-06-01,60
AC-CLF-4,2025-06-01,50
AC-DGT-4,2025-06-01,60
AC-LBS-2,2025-06-01,50
AC-LBS-3,2025-06-01,100
AC-LBS-4,2025-06-01,50
AC-LMN-2,2025-06-01,50
AC-LMN-3,2025-06-01,100
AC-LMN-4,2025-06-01,50
AC-LPG-2,2025-06-01,120
AC-LPG-3,2025-06-01,50
AC-MNT-3,2025-06-01,50
AC-MON-2,2025-06-01,50
AC-MON-3,2025-06-01,50
AC-PKG-3,2025-06-01,50
AC-PNK-3,2025-06-01,50
AC-RED-2,2025-06-01,50
AC-STC-3,2025-06-01,240
AC-STC-4,2025-06-01,150
AC-SUN-2,2025-06-01,75
AC-SUN-3,2025-06-01,100
AC-SUN-4,2025-06-01,50
AC-TAT-2,2025-06-01,30
AC-TAT-3,2025-06-01,70
AC-TAT-4,2025-06-01,60
AC-TRT-2,2025-06-01,50
ACV-BEI-2,2025-06-01,70
ACV-BEI-3,2025-06-01,150
ACV-BEI-4,2025-06-01,150
ACV-BLK-2,2025-06-01,60
ACV-BLK-3,2025-06-01,70
ACV-BLK-4,2025-06-01,70
ACV-BLU-2,2025-06-01,70
ACV-BLU-3,2025-06-01,150
ACV-BLU-4,2025-06-01,100
ACV-COR-2,2025-06-01,100
ACV-COR-3,2025-06-01,180
ACV-COR-4,2025-06-01,150
ACV-GRN-2,2025-06-01,70
ACV-GRN-3,2025-06-01,150
ACV-GRN-4,2025-06-01,150
ACV-PNK-2,2025-06-01,70
ACV-PNK-3,2025-06-01,150
ACV-PNK-4,2025-06-01,150
ACV-PRP-2,2025-06-01,100
ACV-PRP-3,2025-06-01,180
ACV-PRP-4,2025-06-01,150
ACV-SGR-2,2025-06-01,100
ACV-SGR-3,2025-06-01,180
ACV-SGR-4,2025-06-01,150
ACV-YEL-2,2025-06-01,100
ACV-YEL-3,2025-06-01,180
ACV-YEL-4,2025-06-01,150
AR-ALN-1,2025-06-01,50
AR-ALN-2,2025-06-01,50
AR-BRY-2,2025-06-01,70
AR-BRY-3,2025-06-01,50
AR-CLF-1,2025-06-01,50
AR-CLF-2,2025-06-01,70
AR-CLF-3,2025-06-01,50
AR-CLF-4,2025-06-01,50
AR-FPW-1,2025-06-01,50
AR-FPW-2,2025-06-01,50
AR-LBS-1,2025-06-01,50
AR-LBS-2,2025-06-01,75
AR-LBS-3,2025-06-01,75
AR-LBS-4,2025-06-01,75
AR-LBS-5,2025-06-01,50
AR-LMN-1,2025-06-01,50
AR-LMN-2,2025-06-01,75
AR-LMN-3,2025-06-01,75
AR-LMN-4,2025-06-01,75
AR-LMN-5,2025-06-01,50
AR-LPG-2,2025-06-01,80
AR-LPG-4,2025-06-01,50
AR-PKG-1,2025-06-01,70
AR-PKG-2,2025-06-01,100
AR-STC-1,2025-06-01,80
AR-STC-2,2025-06-01,100
AR-STC-3,2025-06-01,250
AR-STC-4,2025-06-01,70
AR-SUN-1,2025-06-01,50
AR-SUN-2,2025-06-01,100
AR-SUN-3,2025-06-01,100
AR-SUN-4,2025-06-01,75
AR-SUN-5,2025-06-01,50
AT-ALN-2,2025-06-01,50
AT-ALN-3,2025-06-01,50
AT-ALN-4,2025-06-01,50
AT-AVC-3,2025-06-01,90
AT-AVC-4,2025-06-01,100
AT-BRY-3,2025-06-01,70
AT-FPW-3,2025-06-01,90
AT-FPW-4,2025-06-01,60
AT-LBS-2,2025-06-01,50
AT-LBS-3,2025-06-01,70
AT-LBS-4,2025-06-01,70
AT-LBS-5,2025-06-01,50
AT-LMN-2,2025-06-01,50
AT-LMN-3,2025-06-01,100
AT-LMN-4,2025-06-01,70
AT-LMN-5,2025-06-01,50
AT-SML-2,2025-06-01,90
AT-SML-3,2025-06-01,140
AT-SUN-2,2025-06-01,50
AT-SUN-3,2025-06-01,100
AT-SUN-4,2025-06-01,100
AT-SUN-5,2025-06-01,70
BH-AVC-1,2025-06-01,80
BH-AVC-2,2025-06-01,60
BH-AVC-3,2025-06-01,70
BH-PRP-1,2025-06-01,50
BH-PRP-3,2025-06-01,60
BH-SML-1,2025-06-01,50
BH-SML-2,2025-06-01,60
BH-SML-3,2025-06-01,50
CG-AVC-0,2025-06-01,50
CG-LBS-0,2025-06-01,50
CG-LMN-0,2025-06-01,50
CG-PRC-0,2025-06-01,100
CG-PRP-0,2025-06-01,50
CG-RED-0,2025-06-01,50
CG-SUN-0,2025-06-01,50
CL-BRY-2,2025-06-01,50
CL-CLF-2,2025-06-01,50
CL-CLF-3,2025-06-01,50
CL-CLF-4,2025-06-01,50
CL-DGT-2,2025-06-01,50
CL-DGT-3,2025-06-01,50
CL-FPW-3,2025-06-01,50
CL-LBS-1,2025-06-01,50
CL-LBS-2,2025-06-01,50
CL-LBS-3,2025-06-01,50
CL-LBS-4,2025-06-01,50
CL-LMN-1,2025-06-01,50
CL-LMN-2,2025-06-01,50
CL-LMN-3,2025-06-01,50
CL-LMN-4,2025-06-01,50
CL-LPG-2,2025-06-01,100
CL-LPG-3,2025-06-01,70
CL-SML-3,2025-06-01,180
CL-SML-4,2025-06-01,70
CL-STC-3,2025-06-01,100
CL-STC-4,2025-06-01,60
CL-SUN-1,2025-06-01,50
CL-SUN-2,2025-06-01,50
CL-SUN-3,2025-06-01,50
CL-SUN-4,2025-06-01,50
CL-TRT-1,2025-06-01,100
CLV-BEI-3,2025-06-01,50
CLV-BLK-3,2025-06-01,30
CLV-BLU-3,2025-06-01,50
CLV-BLU-4,2025-06-01,50
CLV-COR-1,2025-06-01,50
CLV-COR-2,2025-06-01,50
CLV-COR-3,2025-06-01,70
CLV-COR-4,2025-06-01,50
CLV-GRN-2,2025-06-01,50
CLV-GRN-3,2025-06-01,60
CLV-GRN-4,2025-06-01,50
CLV-PNK-2,2025-06-01,50
CLV-PNK-3,2025-06-01,50
CLV-PNK-4,2025-06-01,50
CLV-PRP-1,2025-06-01,50
CLV-PRP-2,2025-06-01,50
CLV-PRP-3,2025-06-01,70
CLV-PRP-4,2025-06-01,50
CLV-SGR-1,2025-06-01,50
CLV-SGR-2,2025-06-01,50
CLV-SGR-3,2025-06-01,70
CLV-SGR-4,2025-06-01,50
CLV-YEL-1,2025-06-01,50
CLV-YEL-2,2025-06-01,50
CLV-YEL-3,2025-06-01,70
CLV-YEL-4,2025-06-01,50
CR-ALN-2,2025-06-01,90
CR-ALN-4,2025-06-01,120
CR-AVC-2,2025-06-01,220
CR-AVC-4,2025-06-01,220
CR-BRY-2,2025-06-01,180
CR-BRY-4,2025-06-01,35
CR-CLF-2,2025-06-01,80
CR-CLF-4,2025-06-01,50
CR-DGT-2,2025-06-01,80
CR-FPW-2,2025-06-01,140
CR-FPW-4,2025-06-01,120
CR-LBS-2,2025-06-01,140
CR-LBS-4,2025-06-01,160
CR-LMN-2,2025-06-01,140
CR-LMN-4,2025-06-01,200
CR-LPG-2,2025-06-01,160
CR-MMD-2,2025-06-01,60
CR-MON-2,2025-06-01,50
CR-PKG-2,2025-06-01,50
CR-PNK-2,2025-06-01,50
CR-RED-2,2025-06-01,50
CR-SML-2,2025-06-01,150
CR-SML-4,2025-06-01,100
CR-STC-4,2025-06-01,230
CR-SUN-2,2025-06-01,140
CR-SUN-4,2025-06-01,200
CR-UNC-2,2025-06-01,50
CRV-BEI-2,2025-06-01,50
CRV-BEI-4,2025-06-01,150
CRV-BLK-2,2025-06-01,60
CRV-BLK-4,2025-06-01,70
CRV-BLU-2,2025-06-01,50
CRV-BLU-4,2025-06-01,100
