sku,descripcion,stock,fecha
CL-SKL-1,Dukier Skulls Collar XS,0,2025-05-06
CL-SKL-2,Dukier Skulls Collar S,0,2025-05-06
CL-SKL-3,Dukier Skulls Collar M,0,2025-05-06
CL-SKL-4,Dukier Skulls Collar L,0,2025-05-06
CL-SVN-1,Dukier Savana Collar XS,0,2025-05-06
CL-SVN-2,Dukier Savana Collar S,0,2025-05-06
CL-SVN-3,Dukier Savana Collar M,0,2025-05-06
CL-SVN-4,Dukier Savana Collar L,0,2025-05-06
CL-CPK-1,Dukier Cupcakes Collar XS,89,2025-05-06
CL-CPK-2,Dukier Cupcakes Collar S,0,2025-05-06
CL-CPK-3,Dukier Cupcakes Collar M,0,2025-05-06
CL-CPK-4,Dukier Cupcakes Collar L,8,2025-05-06
CL-SPD-1,Dukier Superdog Collar XS,178,2025-05-06
CL-SPD-2,Dukier Superdog Collar S,70,2025-05-06
CL-SPD-3,Dukier Superdog Collar M,84,2025-05-06
CL-SPD-4,Dukier Superdog Collar L,134,2025-05-06
CL-CMO-1,Dukier Camo Collar XS,163,2025-05-06
CL-CMO-2,Dukier Camo Collar S,142,2025-05-06
CL-CMO-3,Dukier Camo Collar M,76,2025-05-06
CL-CMO-4,Dukier Camo Collar L,137,2025-05-06
CL-DGT-1,Dukier Dogtella Collar XS,51,2025-05-06
CL-DGT-2,Dukier Dogtella Collar S,0,2025-05-06
CL-DGT-3,Dukier Dogtella Collar M,0,2025-05-06
CL-DGT-4,Dukier Dogtella Collar L,78,2025-05-06
CL-SPC-1,Dukier Space Collar XS,3,2025-05-06
CL-SPC-2,Dukier Space Collar S,0,2025-05-06
CL-SPC-3,Dukier Space Collar M,0,2025-05-06
CL-SPC-4,Dukier Space Collar L,0,2025-05-06
CL-NGR-1,Dukier Nigiri Collar XS,30,2025-05-06
CL-NGR-2,Dukier Nigiri Collar S,0,2025-05-06
CL-NGR-3,Dukier Nigiri Collar M,0,2025-05-06
CL-NGR-4,Dukier Nigiri Collar L,0,2025-05-06
CL-HDG-1,Dukier Heladog Collar XS,0,2025-05-06
CL-HDG-2,Dukier Heladog Collar S,0,2025-05-06
CL-HDG-3,Dukier Heladog Collar M,0,2025-05-06
CL-HDG-4,Dukier Heladog Collar L,0,2025-05-06
CL-AVC-1,Dukier Avocado Collar XS,181,2025-05-06
CL-AVC-2,Dukier Avocado Collar S,110,2025-05-06
CL-AVC-3,Dukier Avocado Collar M,159,2025-05-06
CL-AVC-4,Dukier Avocado Collar L,83,2025-05-06
CL-NEO-1,Dukier Neón Collar XS,0,2025-05-06
CL-NEO-2,Dukier Neón Collar S,0,2025-05-06
CL-NEO-3,Dukier Neón Collar M,0,2025-05-06
CL-NEO-4,Dukier Neón Collar L,0,2025-05-06
AR-SKL-1,Dukier Skulls Arnés Reversible XS,0,2025-05-06
AR-SKL-2,Dukier Skulls Arnés Reversible S,0,2025-05-06
AR-SKL-3,Dukier Skulls Arnés Reversible M,0,2025-05-06
AR-SKL-4,Dukier Skulls Arnés Reversible L,0,2025-05-06
AR-SKL-5,Dukier Skulls Arnés Reversible XL,0,2025-05-06
AR-SVN-1,Dukier Savana Arnés Reversible XS,0,2025-05-06
AR-SVN-2,Dukier Savana Arnés Reversible S,0,2025-05-06
AR-SVN-3,Dukier Savana Arnés Reversible M,0,2025-05-06
AR-SVN-4,Dukier Savana Arnés Reversible L,0,2025-05-06
AR-SVN-5,Dukier Savana Arnés Reversible XL,3,2025-05-06
AR-CPK-1,Dukier Cupcakes Arnés Reversible XS,52,2025-05-06
AR-CPK-2,Dukier Cupcakes Arnés Reversible S,0,2025-05-06
AR-CPK-3,Dukier Cupcakes Arnés Reversible M,0,2025-05-06
AR-CPK-4,Dukier Cupcakes Arnés Reversible L,0,2025-05-06
AR-CPK-5,Dukier Cupcakes Arnés Reversible XL,105,2025-05-06
AR-SPD-1,Dukier Superdog Arnés Reversible XS,68,2025-05-06
AR-SPD-2,Dukier Superdog Arnés Reversible S,0,2025-05-06
AR-SPD-3,Dukier Superdog Arnés Reversible M,194,2025-05-06
AR-SPD-4,Dukier Superdog Arnés Reversible L,89,2025-05-06
AR-SPD-5,Dukier Superdog Arnés Reversible XL,153,2025-05-06
AR-CMO-1,Dukier Camo Arnés Reversible XS,169,2025-05-06
AR-CMO-2,Dukier Camo Arnés Reversible S,143,2025-05-06
AR-CMO-3,Dukier Camo Arnés Reversible M,0,2025-05-06
AR-CMO-4,Dukier Camo Arnés Reversible L,108,2025-05-06
AR-CMO-5,Dukier Camo Arnés Reversible XL,165,2025-05-06
AR-DGT-1,Dukier Dogtella Arnés Reversible XS,66,2025-05-06
AR-DGT-2,Dukier Dogtella Arnés Reversible S,466,2025-05-06
AR-DGT-3,Dukier Dogtella Arnés Reversible M,310,2025-05-06
AR-DGT-4,Dukier Dogtella Arnés Reversible L,413,2025-05-06
AR-DGT-5,Dukier Dogtella Arnés Reversible XL,108,2025-05-06
AR-SPC-1,Dukier Space Arnés Reversible XS,0,2025-05-06
AR-SPC-2,Dukier Space Arnés Reversible S,0,2025-05-06
AR-SPC-3,Dukier Space Arnés Reversible M,0,2025-05-06
AR-SPC-4,Dukier Space Arnés Reversible L,0,2025-05-06
AR-SPC-5,Dukier Space Arnés Reversible XL,1,2025-05-06
AR-NGR-1,Dukier Nigiri Arnés Reversible XS,0,2025-05-06
AR-NGR-2,Dukier Nigiri Arnés Reversible S,0,2025-05-06
AR-NGR-3,Dukier Nigiri Arnés Reversible M,0,2025-05-06
AR-NGR-4,Dukier Nigiri Arnés Reversible L,0,2025-05-06
AR-NGR-5,Dukier Nigiri Arnés Reversible XL,1,2025-05-06
AR-HDG-1,Dukier Heladog Arnés Reversible XS,0,2025-05-06
AR-HDG-2,Dukier Heladog Arnés Reversible S,0,2025-05-06
AR-HDG-3,Dukier Heladog Arnés Reversible M,0,2025-05-06
AR-HDG-4,Dukier Heladog Arnés Reversible L,0,2025-05-06
AR-HDG-5,Dukier Heladog Arnés Reversible XL,0,2025-05-06
AR-AVC-1,Dukier Avocado Arnés Reversible XS,154,2025-05-06
AR-AVC-2,Dukier Avocado Arnés Reversible S,179,2025-05-06
AR-AVC-3,Dukier Avocado Arnés Reversible M,171,2025-05-06
AR-AVC-4,Dukier Avocado Arnés Reversible L,143,2025-05-06
AR-AVC-5,Dukier Avocado Arnés Reversible XL,169,2025-05-06
AR-NEO-1,Dukier Neón Arnés Reversible XS,0,2025-05-06
AR-NEO-2,Dukier Neón Arnés Reversible S,0,2025-05-06
AR-NEO-3,Dukier Neón Arnés Reversible M,0,2025-05-06
AR-NEO-4,Dukier Neón Arnés Reversible L,0,2025-05-06
AR-NEO-5,Dukier Neón Arnés Reversible XL,0,2025-05-06
AC-SKL-2,Dukier Skulls Arnés Clásico S,0,2025-05-06
AC-SKL-3,Dukier Skulls Arnés Clásico M,0,2025-05-06
AC-SKL-4,Dukier Skulls Arnés Clásico L,0,2025-05-06
AC-SVN-2,Dukier Savana Arnés Clásico S,0,2025-05-06
AC-SVN-3,Dukier Savana Arnés Clásico M,0,2025-05-06
AC-SVN-4,Dukier Savana Arnés Clásico L,0,2025-05-06
AC-CPK-2,Dukier Cupcakes Arnés Clásico S,0,2025-05-06
