sku,stock,fecha
AC-AVC-4,153,2022-01-31
AC-AVC-3,276,2022-01-31
AC-AVC-2,271,2022-01-31
AC-CLF-3,197,2022-01-31
AC-CLF-2,198,2022-01-31
AC-CLF-4,149,2022-01-31
AC-TAT-4,270,2022-01-31
AC-TAT-2,405,2022-01-31
AC-TAT-3,384,2022-01-31
AC-TRT-3,367,2022-01-31
AC-TRT-2,364,2022-01-31
AC-TRT-4,412,2022-01-31
AR-AVC-2,428,2022-01-31
AR-AVC-1,438,2022-01-31
AR-AVC-3,421,2022-01-31
AR-AVC-5,218,2022-01-31
AR-AVC-4,291,2022-01-31
AR-CLF-5,145,2022-01-31
AR-CLF-1,248,2022-01-31
AR-CLF-4,197,2022-01-31
AR-CLF-2,242,2022-01-31
AR-CLF-3,240,2022-01-31
AR-CMO-1,119,2022-01-31
AR-CMO-2,249,2022-01-31
AR-CMO-3,296,2022-01-31
AR-CMO-4,267,2022-01-31
AR-CMO-5,135,2022-01-31
AR-LEO-4,439,2022-01-31
AR-LEO-3,585,2022-01-31
AR-LEO-1,611,2022-01-31
AR-LEO-2,587,2022-01-31
AR-LEO-5,327,2022-01-31
AR-TRT-3,641,2022-01-31
AR-TRT-4,470,2022-01-31
AR-TRT-5,314,2022-01-31
AR-TRT-1,690,2022-01-31
AR-TRT-2,625,2022-01-31
CL-CLF-2,147,2022-01-31
CL-CLF-1,149,2022-01-31
CL-CLF-4,139,2022-01-31
CL-CLF-3,116,2022-01-31
CL-DGT-1,70,2022-01-31
CL-DGT-3,235,2022-01-31
CL-DGT-4,184,2022-01-31
CL-DGT-2,172,2022-01-31
CL-LEO-1,340,2022-01-31
CL-LEO-2,353,2022-01-31
CL-LEO-4,230,2022-01-31
CL-LEO-3,367,2022-01-31
CL-TAT-2,352,2022-01-31
CL-TAT-4,175,2022-01-31
CL-TAT-3,237,2022-01-31
CL-TAT-1,199,2022-01-31
CL-TRT-1,288,2022-01-31
CL-TRT-2,259,2022-01-31
CL-TRT-3,248,2022-01-31
CL-TRT-4,188,2022-01-31
CR-AVC-2,768,2022-01-31
CR-AVC-4,474,2022-01-31
CR-CLF-2,584,2022-01-31
CR-CLF-4,342,2022-01-31
CR-DGT-2,1209,2022-01-31
CR-DGT-4,368,2022-01-31
CR-PRC-4,621,2022-01-31
CR-PRC-2,1048,2022-01-31
CR-TAT-4,510,2022-01-31
CR-TAT-2,974,2022-01-31
CR-TRT-4,543,2022-01-31
CR-TRT-2,987,2022-01-31
PB-AVC-2,1017,2022-01-31
PB-SWT-2,348,2022-01-31
PB-DGT-2,0,2022-01-31
PB-DUK-2,275,2022-01-31
PB-PRC-2,1479,2022-01-31
PB-TAT-2,1351,2022-01-31
PB-TRT-2,1493,2022-01-31
PB-TRT-4,1,2022-01-31
PB-LEO-2,1371,2022-01-31
AR-LPG-3,237,2022-02-28
AR-LPG-5,112,2022-02-28
AR-LPG-2,231,2022-02-28
AR-LPG-1,232,2022-02-28
AR-LPG-4,170,2022-02-28
AC-AVC-4,141,2022-02-28
AC-AVC-3,250,2022-02-28
AC-AVC-2,255,2022-02-28
AC-CLF-2,188,2022-02-28
AC-CLF-4,146,2022-02-28
AC-CLF-3,188,2022-02-28
AC-LPG-4,94,2022-02-28
AC-LPG-2,257,2022-02-28
AC-LPG-3,142,2022-02-28
AC-TAT-4,267,2022-02-28
AC-TAT-2,397,2022-02-28
AC-TAT-3,374,2022-02-28
AC-TRT-2,348,2022-02-28
AC-TRT-3,353,2022-02-28
AC-TRT-4,402,2022-02-28
AR-AVC-5,212,2022-02-28
AR-AVC-1,419,2022-02-28
AR-AVC-4,272,2022-02-28
AR-AVC-3,389,2022-02-28
AR-AVC-2,393,2022-02-28
AR-CLF-5,141,2022-02-28
AR-CLF-4,187,2022-02-28
AR-CLF-2,233,2022-02-28
AR-CLF-1,241,2022-02-28
AR-CLF-3,226,2022-02-28
AR-CMO-5,134,2022-02-28
AR-CMO-1,117,2022-02-28
AR-CMO-2,242,2022-02-28
AR-CMO-3,290,2022-02-28
AR-CMO-4,263,2022-02-28
AR-LEO-3,569,2022-02-28
